Words Cnts:  6713                        Number of Occurrences: 87734
bout                                     frequency:1    
bow                                      frequency:4    
bowed                                    frequency:6    
bowing                                   frequency:1    
bowl                                     frequency:7    
bowled                                   frequency:1    
bowler                                   frequency:3    
box                                      frequency:5    
boy                                      frequency:49   
boys                                     frequency:7    
braced                                   frequency:1    
bracingly                                frequency:1    
bracket                                  frequency:3    
brain                                    frequency:5    
brainless                                frequency:2    
brains                                   frequency:3    
brambles                                 frequency:2    
branch                                   frequency:3    
branches                                 frequency:11   
brand                                    frequency:1    
brandished                               frequency:2    
brandishing                              frequency:3    
brass                                    frequency:4    
brat                                     frequency:1    
brave                                    frequency:3    
braved                                   frequency:1    
bravely                                  frequency:1    
brawling                                 frequency:1    
brazil                                   frequency:2    
bread                                    frequency:2    
break                                    frequency:11   
breaker                                  frequency:1    
breakfast                                frequency:13   
breaking                                 frequency:11   
breakneck                                frequency:1    
breath                                   frequency:25   
breathe                                  frequency:1    
breathed                                 frequency:6    
breathing                                frequency:9    
breathless                               frequency:1    
breathlessly                             frequency:4    
breaths                                  frequency:1    
breathtaking                             frequency:1    
breeze                                   frequency:3    
brewing                                  frequency:1    
brick                                    frequency:1    
bridge                                   frequency:1    
bright                                   frequency:19   
brightened                               frequency:1    
brighter                                 frequency:1    
brightly                                 frequency:11   
brilliant                                frequency:14   
bring                                    frequency:4    
bringing                                 frequency:6    
briskly                                  frequency:5    
bristles                                 frequency:2    
bristling                                frequency:1    
broad                                    frequency:2    
broadened                                frequency:2    
broadly                                  frequency:5    
broke                                    frequency:10   
broken                                   frequency:12   
bronze                                   frequency:1    
broom                                    frequency:13   
brooms                                   frequency:7    
broomstick                               frequency:12   
broomsticks                              frequency:6    
brother                                  frequency:5    
brothers                                 frequency:2    
brought                                  frequency:13   
brow                                     frequency:1    
brown                                    frequency:8    
bruised                                  frequency:2    
brush                                    frequency:3    
brushed                                  frequency:1    
brushing                                 frequency:1    
bu                                       frequency:1    
bubbled                                  frequency:2    
bubbles                                  frequency:1    
bubbling                                 frequency:2    
buck                                     frequency:1    
bucket                                   frequency:1    
buckets                                  frequency:1    
budgies                                  frequency:1    
buff                                     frequency:1    
bug                                      frequency:1    
bugbear                                  frequency:1    
build                                    frequency:1    
builder                                  frequency:1    
building                                 frequency:2    
buildings                                frequency:1    
built                                    frequency:3    
bulbous                                  frequency:2    
